event,fight,fighter1,fighter2
"

  UFC 282: Blachowicz vs. Ankalaev

   ",<200 http://ufcstats.com/fight-details/4a17876e99f6baf3>,http://ufcstats.com/fighter-details/d9c6f19f958643e9,http://ufcstats.com/fighter-details/54f64b5e283b0ce7
"

  UFC 282: Blachowicz vs. Ankalaev

   ",<200 http://ufcstats.com/fight-details/fd7421f421e802bd>,http://ufcstats.com/fighter-details/fe2babf95de24fb1,http://ufcstats.com/fighter-details/01fed6f61ebea01f
"

  UFC 282: Blachowicz vs. Ankalaev

   ",<200 http://ufcstats.com/fight-details/1779cc4ae925df01>,http://ufcstats.com/fighter-details/2cd428e9606856fd,http://ufcstats.com/fighter-details/d0aaedcf7ccd0b45
"

  UFC 282: Blachowicz vs. Ankalaev

   ",<200 http://ufcstats.com/fight-details/4e9d76ed54f1f352>,http://ufcstats.com/fighter-details/4144798612ef96e5,http://ufcstats.com/fighter-details/ce632027bf2a871b
"

  UFC 282: Blachowicz vs. Ankalaev

   ",<200 http://ufcstats.com/fight-details/a346180c8b109469>,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3,http://ufcstats.com/fighter-details/b9437600497350f3
"

  UFC 282: Blachowicz vs. Ankalaev

   ",<200 http://ufcstats.com/fight-details/a1a5d06b0e7ada62>,http://ufcstats.com/fighter-details/aa171d55d4b5208f,http://ufcstats.com/fighter-details/262a7d06203657e6
"

  UFC 282: Blachowicz vs. Ankalaev

   ",<200 http://ufcstats.com/fight-details/2d9d966e0e8df232>,http://ufcstats.com/fighter-details/d31cbcdd7d69536d,http://ufcstats.com/fighter-details/21b813b919776d90
"

  UFC 282: Blachowicz vs. Ankalaev

   ",<200 http://ufcstats.com/fight-details/5bc31abb5842942a>,http://ufcstats.com/fighter-details/3c8a5200436e19f3,http://ufcstats.com/fighter-details/84512339473dd300
"

  UFC Fight Night: Thompson vs. Holland

   ",<200 http://ufcstats.com/fight-details/a419e6df765aa755>,http://ufcstats.com/fighter-details/4a28cb716c19157a,http://ufcstats.com/fighter-details/3a46b268013afede
"

  UFC Fight Night: Thompson vs. Holland

   ",<200 http://ufcstats.com/fight-details/f17813d03fcd8e7a>,http://ufcstats.com/fighter-details/a331233f597090a5,http://ufcstats.com/fighter-details/6a2f7c151031653d
"

  UFC Fight Night: Thompson vs. Holland

   ",<200 http://ufcstats.com/fight-details/5a8f7afc5ea69537>,http://ufcstats.com/fighter-details/1a31ef98efce7a79,http://ufcstats.com/fighter-details/67c1d46f4ed16f9e
"

  UFC Fight Night: Thompson vs. Holland

   ",<200 http://ufcstats.com/fight-details/972e17c1b98fca06>,http://ufcstats.com/fighter-details/c62fbc117d57b943,http://ufcstats.com/fighter-details/f14cf73e51b29254
